EndUse,Technology,Fuel,Lifetime,Note
Electronics and Other Electrical Uses,IT and Entertainment,Electricity,5,from TIMES 2.0
Electronics and Other Electrical Uses,Miscellaneous,Electricity,5,from TIMES 2.0
"Intermediate Heat (100-300 C), Cooking",Cooking Appliances,Electricity,13,from TIMES 2.0
"Intermediate Heat (100-300 C), Cooking",Cooking Appliances,LPG,13,from TIMES 2.0
"Intermediate Heat (100-300 C), Cooking",Cooking Appliances,Natural Gas,13,from TIMES 2.0
Lighting,Fluorescent,Electricity,7,from TIMES 2.0
Lighting,Incandescent/Halogen,Electricity,1,from TIMES 2.0
Lighting,LED,Electricity,14,from TIMES 2.0
"Low Temperature Heat (< 100 C), Dishwashers",Dishwashers,Electricity,15,from TIMES 2.0
"Low Temperature Heat (<100 C), Clothes Drying",Clothes Dryer,Electricity,15,from TIMES 2.0
"Low Temperature Heat (<100 C), Clothes Washing",Clothes Washers,Electricity,15,from TIMES 2.0
"Low Temperature Heat (<100 C), Space Heating",Burner (Direct Heat),LPG,20,from TIMES 2.0
"Low Temperature Heat (<100 C), Space Heating",Burner (Direct Heat),Natural Gas,20,from TIMES 2.0
"Low Temperature Heat (<100 C), Space Heating",Burner (Direct Heat),Wood,50,from TIMES 2.0
"Low Temperature Heat (<100 C), Space Heating",Coal Heaters,Coal,50,from TIMES 2.0
"Low Temperature Heat (<100 C), Space Heating",Ground source heat pump,Geothermal,20,from TIMES 2.0
"Low Temperature Heat (<100 C), Space Heating",Heat Pump (for Heating),Electricity,12,from TIMES 2.0
"Low Temperature Heat (<100 C), Space Heating",Resistance Heater,Electricity,5,from TIMES 2.0
"Low Temperature Heat (<100 C), Water Heating","Burner, with Wetback",Wood,50,from TIMES 2.0
"Low Temperature Heat (<100 C), Water Heating",Gas Water Heater,LPG,20,from TIMES 2.0
"Low Temperature Heat (<100 C), Water Heating",Gas Water Heater,Natural Gas,20,from TIMES 2.0
"Low Temperature Heat (<100 C), Water Heating",Hot Water Cylinder,Electricity,20,from TIMES 2.0
"Low Temperature Heat (<100 C), Water Heating",Solar hot water cylinder,Solar,20,from TIMES 2.0
"Motive Power, Mobile",Internal Combustion Engine,Diesel,15,from TIMES 2.0
"Motive Power, Mobile",Internal Combustion Engine,Petrol,15,from TIMES 2.0
Refrigeration,Refrigeration Systems,Electricity,18,from TIMES 2.0
Space Cooling,Heat Pump (for Cooling),Electricity,12,from TIMES 2.0
